Feature,Importance
Category_get_mode,0.4081480233000857
NumWithVerdict,0.12474537242245934
Duration_seconds,0.0652689439725785
NumWithSuspicion,0.06232667774066095
DayOfWeek_get_mode,0.06162143230282073
Hour_Avg,0.05854190905153223
Hour_Last,0.05612008260097126
Hour_First,0.04659330130542052
NumAlerts,0.021574005136818265
NumEvidences,0.01904269122911782
IsWeekend_max,0.015756813911604366
NumEntityTypes,0.015667441185789614
MITRE_unknown_sum,0.013837111279774708
MITRE_T1566_sum,0.007192518625439029
MITRE_T1078_sum,0.007156913031636434
NumEvidenceRoles,0.006916009820281403
MITRE_n_rare_sum,0.006269216552249052
MITRE_T1110_sum,0.0018169576856755494
MITRE_T1059_sum,0.0008676573313626564
MITRE_T1003_sum,0.0005369215137218009
